dataset,thinking_mode,emb_model,auc,threshold,youden_j,f1_at_threshold,n_pos,n_neg,method,poincare_scale
natural_questions,thinking,bge-base,0.8796296296296297,0.917834013251204,0.5902777777777777,0.217391304347826,12,288,poincare,0.05
natural_questions,thinking,e5-base,0.8990162037037037,0.7870047373987322,0.6597222222222223,0.2268041237113402,12,288,baseline,
natural_questions,thinking,e5-base,0.8867924528301887,0.07142533733797302,0.7735849056603774,0.4,4,53,helm,
natural_questions,thinking,e5-base,0.8466435185185185,0.8097907220897962,0.6423611111111112,0.2156862745098039,12,288,maxsim,
natural_questions,thinking,e5-base,0.90625,0.809538495600523,0.7326388888888888,0.2894736842105263,12,288,maxsim_span,
natural_questions,thinking,e5-base,0.8990162037037037,0.9366192110818834,0.6597222222222223,0.2268041237113402,12,288,poincare,0.05
natural_questions,thinking,minilm,0.8686342592592593,0.4158997145205287,0.6006944444444446,0.2247191011235955,12,288,baseline,
natural_questions,thinking,minilm,0.75,0.08277885891478415,0.5235849056603774,0.31578947368421056,4,53,helm,
natural_questions,thinking,minilm,0.8226273148148149,0.426136704845045,0.5451388888888888,0.1904761904761904,12,288,maxsim,
natural_questions,thinking,minilm,0.8804976851851852,0.4222404857414152,0.6423611111111112,0.2597402597402597,12,288,maxsim_span,
natural_questions,thinking,minilm,0.8686342592592593,0.898189615065129,0.6111111111111112,0.2325581395348837,12,288,poincare,0.05
sciq,no_thinking,bge-base,0.940188204363648,0.8424116978094206,0.7354879045832732,0.8735632183908046,261,239,baseline,
sciq,no_thinking,bge-base,0.9523809523809523,0.45417985394971455,0.799206349206349,0.8932038834951456,56,45,helm,
sciq,no_thinking,bge-base,0.9401721733275622,0.8424116160402346,0.7354879045832732,0.8735632183908046,261,239,maxsim,
sciq,no_thinking,bge-base,0.940188204363648,0.8424116978094206,0.7354879045832732,0.8735632183908046,261,239,maxsim_span,
sciq,no_thinking,bge-base,0.940188204363648,0.9450992405714104,0.7354879045832732,0.8735632183908046,261,239,poincare,0.05
sciq,no_thinking,e5-base,0.9334712002436716,0.9414094398968184,0.7268151140608219,0.8628230616302187,261,239,baseline,
sciq,no_thinking,e5-base,0.9353174603174603,0.5020381350762879,0.7634920634920634,0.8712871287128713,56,45,helm,
sciq,no_thinking,e5-base,0.9305535516760448,0.905471083207346,0.7225829205341541,0.8690702087286528,261,239,maxsim,
sciq,no_thinking,e5-base,0.930633706856474,0.9054710583471174,0.7225829205341541,0.8690702087286528,261,239,maxsim_span,
sciq,no_thinking,e5-base,0.9334712002436718,0.9664582211767608,0.7268151140608219,0.8628230616302187,261,239,poincare,0.05
sciq,no_thinking,minilm,0.9537825229644592,0.8573789219722976,0.7609932829958801,0.8757637474541752,261,239,baseline,
sciq,no_thinking,minilm,0.9337301587301587,0.5162781994583918,0.8214285714285714,0.9019607843137255,56,45,helm,
sciq,no_thinking,minilm,0.9537023677840298,0.8573789204559733,0.7609932829958801,0.8757637474541752,261,239,maxsim,
sciq,no_thinking,minilm,0.9537825229644592,0.8573789219722976,0.7609932829958801,0.8757637474541752,261,239,maxsim_span,
sciq,no_thinking,minilm,0.9537825229644592,0.951129709655915,0.766940797383735,0.875,261,239,poincare,0.05
sciq,thinking,bge-base,0.9022724221267454,0.8418130889609831,0.6989124597207304,0.8735244519392917,304,196,baseline,
sciq,thinking,bge-base,0.9594594594594594,0.3564633971651146,0.8191268191268191,0.9072164948453608,52,37,helm,
sciq,thinking,bge-base,0.9197603383458648,0.8418129538770895,0.7054914070891516,0.877310924369748,304,196,maxsim,
sciq,thinking,bge-base,0.9076765574650912,0.8404424160569157,0.702201933404941,0.8754208754208755,304,196,maxsim_span,
sciq,thinking,bge-base,0.9022724221267454,0.944935602758398,0.6989124597207304,0.8735244519392917,304,196,poincare,0.05
sciq,thinking,e5-base,0.8898194146079484,0.9431130535638512,0.7086466165413534,0.8656195462478184,304,196,baseline,
sciq,thinking,e5-base,0.9495841995841996,0.3916670778607154,0.7998960498960499,0.8958333333333334,52,37,helm,
